,id,role_0,role_1,role_2
1000,1072,2212,967,125
1001,11030,758,717,44
1002,167153,415,0,0
1003,69259,247,39,2
1004,9112,4819,1530,216
1005,10661,752,12,4
1006,6119,3675,3168,362
1007,203068,4810,2903,632
1008,6152,3673,1959,1438
1009,54932,490,11,2
1010,284069,239,24,1
1011,6464,2788,1223,165
1012,4143,388,3,1
1013,219771,684,15,3
1014,1030,701,28,4
1015,83987,4397,6426,628
1016,23020,10008,10039,4104
1017,1212,878,188,49
1018,2060,2082,449,61
1019,23041,48,0,0
1020,5597,6167,7628,254
1021,7272,1434,154,17
1022,3768,390,29,9
1023,51678,166,20,4
1024,55092,330,73,0
1025,84078,1856,738,17
1026,3566,156,5,2
1027,9655,1094,1,2
1028,2332,6361,1541,1137
1029,6136,8248,4406,3150
1030,67849,71,9,0
1031,9212,6214,2785,228
1032,6612,2442,990,305
1033,5539,4,0,0
1034,5540,9,0,0
1035,8803,217,47,5
1036,11004,1748,76,17
1037,9146,2774,2249,126
1038,90390,1144,98,94
1039,81847,797,41,7
1040,7520,2553,923,149
1041,2621,1,0,0
1042,558,1419,40,14
1043,6871,1311,760,101
1044,10025,1204,353,133
1045,10436,2327,181,266
1046,6194,9251,7515,3656
1047,4236,2434,965,690
1048,7536,5364,4479,1984
1049,8856,224,18,3
1050,144165,21,0,0
1051,311055,4,0,0
1052,27044,5105,727,124
1053,10987,6169,16218,1699
1054,8607,8444,6700,697
1055,3198,1059,1409,113
1056,29964,217,5,2
1057,25998,466,59,17
1058,9188,7227,3014,1248
1059,55667,642,15,0
1060,5706,4719,1522,470
1061,5702,5665,3790,464
1062,5695,2981,543,372
1063,4522,4618,793,81
1064,7298,1975,450,43
1065,56257,6278,3568,393
1066,84132,588,124,2
1067,60488,313,101,61
1068,51222,269,71,16
1069,8932,742,119,49
1070,11329,1533,184,18
1071,2079,2077,161,25
1072,7517,1485,519,18
1073,7031,140,10,0
1074,51035,1773,358,45
1075,8882,1198,440,35
1076,6599,6862,3530,461
1077,513,1393,148,66
1078,509,7242,2294,1064
1079,51645,1722,325,743
1080,58517,2394,327,608
1081,23199,2294,282,47
1082,6233,3283,1782,492
1083,29979,3967,7816,164
1084,2288,964,113,16
1085,10728,3950,919,97
1086,84661,1613,709,40
1087,10565,191,34,0
1088,8343,233,12,2
1089,8915,2157,411,49
1090,6161,5492,985,1452
1091,2077,510,24,3
1092,51097,534,61,0
1093,4301,2017,427,29
1094,1080,1912,1346,84
1095,2195,79,0,0
1096,25843,493,154,28
1097,4171,15972,79991,2897
1098,4086,4970,3046,140
1099,4762,133,6,3
1100,10531,266,13,0
1101,6182,2062,767,534
1102,1639,1484,689,34
1103,29944,159,7,0
1104,9531,9386,25217,414
1105,23498,114,1,0
1106,9738,1559,86,8
1107,54516,0,0,0
1108,51409,55,0,1
1109,11269,5297,2596,466
1110,8349,2655,824,367
1111,2064,4013,4145,193
1112,74155,48,0,0
1113,84186,668,14,3
1114,205564,119,2,0
1115,5568,523,68,3
1116,8621,965,163,10
1117,2783,1456,565,36
1118,3150,1204,196,8
1119,10991,27,1,0
1120,65005,1361,514,439
1121,51263,935,156,521
1122,7319,502,335,13
1123,1029,6058,2670,209
1124,151636,1149,65,10
1125,84733,720,49,23
1126,375791,1255,3040,244
1127,51547,5694,9516,798
1128,2120,2254,124,10
1129,76804,3,0,0
1130,6423,151,0,0
1131,10296,1093,42,21
1132,6714,10373,27135,992
1133,51792,1132,816,47
1134,91010,546,1,0
1135,54870,1439,109,10
1136,60682,929,18,2
1137,1676,956,73,8
1138,9958,4157,2302,97
1139,54927,1037,139,11
1140,1734,570,3,2
1141,118,2194,558,47
1142,3398,553,34,12
1143,8924,3759,5523,107
1144,146956,714,39,1
1145,54822,680,52,1
1146,22976,6609,7025,259
1147,10111,3460,1321,144
1148,1973,2015,273,88
1149,10775,389,45,5
1150,11102,674,44,3
1151,8342,4726,156,862
1152,51105,767,14,6
1153,53615,1538,422,87
1154,4771,3557,425,49
1155,6895,3359,975,221
1156,99152,636,183,56
1157,996,2754,1245,219
1158,65125,4177,4337,131
1159,399511,220,3,2
1160,6492,5,0,0
1161,51194,2259,296,22
1162,1810,947,23,5
1163,26580,587,350,4
1164,10066,142,22,2
1165,6421,3948,1078,340
1166,64840,6,1,0
1167,81029,5,0,0
