id,role_0,role_1,role_2,role_3
125988,17,1921,134,2
346157,14,600,89,2
55729,91,9838,3950,145
7532,540,72867,135594,9936
9516,43,7543,795,108
23327,190,22851,17501,454
9618,150,18654,10715,460
10392,30,6396,367,68
4174,302,54518,38306,7145
1290,9,1002,31,5
780,26,5720,305,20
5450,62,4632,1818,73
353332,59,6984,1121,590
7529,396,47909,75162,3048
3831,75,12881,2554,221
4168,24,3525,262,14
6837,42,3612,308,553
64753,135,11184,8810,235
79165,76,13738,2619,231
84437,10,1518,44,1
2342,45,2889,967,23
30012,85,5823,3456,114
79759,29,7264,364,42
5208,36,7596,558,72
51538,27,5397,341,10
63875,100,6801,1695,3255
92181,17,2750,129,7
387867,10,6046,1,44
9798,47,6328,1000,81
8906,21,3988,180,30
26270,622,61702,186339,6792
55573,44,5682,880,66
6238,48,10203,1041,87
728113,7,1003,15,6
145226,28,3055,337,41
222642,17,1281,136,0
4985,39,4822,649,92
5578,393,41700,74599,2429
1312,39,5764,683,58
4129,49,2357,864,312
6604,66,9266,1602,543
23542,92,9780,4072,114
6590,15,1566,100,5
55697,121,13338,7082,178
80778,36,3856,518,112
5894,207,33016,19915,1406
598,110,11053,5683,312
4122,19,2475,163,8
1107,188,29845,15903,1675
5997,64,8426,1961,55
23354,36,7504,447,183
5204,185,19431,16472,548
79722,13,1237,72,6
57805,121,27472,6527,733
56946,35,6083,539,56
5094,195,44454,10894,8021
6203,368,57388,45052,22476
23281,359,24537,63578,683
1650,176,34040,11479,3921
3703,29,6838,371,35
1019,203,34500,19195,1308
862,103,13906,4987,266
171482,48,6146,1086,42
1659,211,28693,10622,11533
51503,189,24038,6709,11057
672,607,66338,176625,7296
5630,48,8813,1000,128
192666,43,8171,757,146
3336,137,18709,8540,776
5931,230,27724,23648,2687
2316,359,51439,59377,4884
23524,330,51962,39894,14391
4361,128,24158,6939,1189
2237,60,14719,1615,155
3885,268,19080,34991,787
2887,60,14634,1542,228
5626,367,21898,66436,725
27327,61,10090,1671,159
53981,80,17272,2427,733
6883,87,11992,2883,858
84823,61,16576,1643,187
283234,42,5007,801,60
1630,43,6893,790,113
36,47,3716,749,332
549,27,1173,189,162
7417,191,35261,14219,3926
8662,140,30177,5943,3787
126328,64,2974,634,1382
4700,62,2867,502,1389
27303,9,1074,15,21
51335,16,2624,104,16
9189,62,6550,1843,48
9533,261,41950,27376,6554
24812,5,726,0,10
811,156,32499,10941,1149
5159,109,16285,5257,629
4040,40,4859,748,32
8260,70,10713,2331,84
1499,395,60338,73793,4022
5494,55,7903,1401,84
3275,58,7409,1579,74
6256,154,18709,10769,1012
10892,41,9862,651,169
8792,18,4880,120,33
5826,5,483,10,0
2547,283,48036,37180,2723
54623,58,10509,1389,264
27005,81,10649,3015,225
57673,22,5214,213,18
10138,52,6468,1128,198
4638,62,11628,1708,183
58506,19,4898,156,15
9448,69,13294,2226,120
90850,32,6841,462,34
55696,188,21619,6760,10818
1514,43,5654,867,36
51213,99,17328,4415,436
57187,221,26892,15063,9247
3480,91,20555,3580,515
55816,24,2681,270,6
3718,92,10358,3893,293
3932,254,34379,28260,3871
54715,48,3962,992,136
23201,66,11373,1887,258
4118,32,1384,491,5
51338,9,331,35,1
6729,28,7233,317,61
9919,157,26996,11150,1096
8218,53,15226,1122,256
137492,14,4610,63,28
23028,372,38455,66439,2567
3417,57,10319,1402,194
387082,80,15153,2825,335
79867,211,12072,21758,397
147007,16,2327,108,12
283989,24,5247,251,25
440295,212,15682,22018,348
5708,248,45107,24515,6113
6210,331,48303,34289,20326
11339,120,12642,6826,314
114928,96,8484,4451,109
55700,28,5343,351,27
10482,1151,85039,653174,8651
79026,96,23271,4019,541
55689,31,5202,379,86
8848,169,18178,13824,372
58477,146,17309,10253,332
23636,138,19949,8870,583
3836,131,25753,7733,782
5359,130,15309,7927,458
153090,35,9728,537,58
1387,398,42105,74406,4597
2623,109,16523,5505,381
51324,139,13788,9302,289
10215,8,2281,26,2
30812,19,1755,161,10
995,44,13161,756,190
7534,660,82650,206667,10803
8697,152,17356,10758,718
79001,96,4433,4516,44
5728,244,36432,28036,1610
6191,358,55239,42348,21555
7804,39,4712,726,15
84514,11,554,55,0
7879,182,24297,15439,1032
57403,16,2885,102,18
22981,211,17309,21235,920
26058,68,20712,1949,329
11156,100,11370,4827,123
55735,46,7767,970,65
22955,37,4803,567,99
8467,213,34897,19627,2951
6944,65,10100,1659,421
11077,277,20499,37375,851
9744,15,3274,96,9
25978,55,5789,1343,142
115416,20,3501,150,40
51510,49,5568,1016,160
7644,6,2179,15,0
5250,311,49647,35560,12645
6135,382,53618,49140,23631
2055,30,2929,424,11
57447,12,1794,63,3
30811,8,2690,23,5
1072,166,32893,12199,1496
11030,238,15443,27158,1045
167153,8,3007,27,1
69259,87,6631,3694,47
9112,126,23282,6903,972
10661,22,6976,160,71
6119,397,56934,72701,5905
203068,361,67635,56432,8548
6152,333,47012,35159,20119
54932,17,2482,119,17
284069,36,5140,546,84
6464,277,38193,35629,2597
4143,11,2411,51,4
219771,18,4625,128,25
1030,24,4926,262,14
83987,545,69681,140678,7562
23020,375,56332,48680,21445
1212,80,10495,2343,817
2060,159,28072,11329,1232
23041,16,4068,111,9
5597,280,32340,37706,1354
7272,69,16931,2043,303
3768,17,1256,100,36
51678,40,4666,688,92
55092,27,2855,346,5
84078,84,10473,3369,117
3566,24,2578,223,53
9655,10,5458,40,5
2332,161,32833,6834,6046
6136,285,48720,22773,17697
67849,19,1804,155,16
9212,178,32254,14733,1020
6612,183,30850,13581,3072
5539,2,568,1,0
5540,4,226,6,0
8803,50,6215,1083,142
11004,63,14978,1809,144
9146,355,40434,60932,1903
90390,51,6216,618,657
81847,40,8355,704,76
7520,231,40329,24394,2171
2621,8,244,27,1
558,28,8024,296,82
6871,166,23845,12327,1368
10025,73,9090,1738,890
10436,101,25758,2182,2868
6194,353,50666,41093,21035
4236,222,30922,15160,9371
7536,263,33895,24447,10006
8856,36,5223,573,57
144165,19,857,166,5
311055,2,30,1,0
27044,91,27746,3228,867
10987,826,89493,321640,19085
8607,277,50654,34312,3914
3198,266,18321,32394,2851
29964,9,939,30,6
25998,74,14012,2434,267
9188,228,45066,17335,8543
55667,10,2877,42,3
5706,135,22673,6941,2104
5702,188,26909,15394,2184
5695,95,12298,2894,1571
4522,94,22808,3871,500
7298,75,7508,2580,195
56257,186,34434,14935,2270
84132,33,5189,499,29
60488,119,13215,3578,3443
51222,47,6035,918,163
8932,73,11074,1917,711
11329,53,10912,1225,153
2079,64,17301,1804,212
7517,143,16101,9887,266
7031,21,2466,205,5
51035,126,20960,7297,578
8882,68,8972,2026,252
6599,201,37236,17509,2591
513,41,5423,611,209
509,194,39367,12936,5785
51645,183,22096,5818,10835
58517,193,30475,8997,9531
